Tarih,BUY,SELL
29-08-2023,26.53,26.57
31-08-2023,26.58,26.62
01-09-2023,26.67,26.71
04-09-2023,26.68,26.73
05-09-2023,26.74,26.78
06-09-2023,26.76,26.81
07-09-2023,26.77,26.82
08-09-2023,26.80,26.85
11-09-2023,26.81,26.86
12-09-2023,26.84,26.89
13-09-2023,26.86,26.91
14-09-2023,26.90,26.95
15-09-2023,26.91,26.96
18-09-2023,26.93,26.98
19-09-2023,26.98,27.03
20-09-2023,26.99,27.04
21-09-2023,26.99,27.04
22-09-2023,27.00,27.05
25-09-2023,27.10,27.15
26-09-2023,27.18,27.22
27-09-2023,27.21,27.26
28-09-2023,27.26,27.31
29-09-2023,27.38,27.42
02-10-2023,27.38,27.43
03-10-2023,27.40,27.45
04-10-2023,27.45,27.50
05-10-2023,27.53,27.58
06-10-2023,27.53,27.58
09-10-2023,27.56,27.61
10-10-2023,27.66,27.71
11-10-2023,27.68,27.73
12-10-2023,27.69,27.74
13-10-2023,27.71,27.76
16-10-2023,27.74,27.79
17-10-2023,27.84,27.89
18-10-2023,27.87,27.92
19-10-2023,27.97,28.02
20-10-2023,27.96,28.02
23-10-2023,27.97,28.02
24-10-2023,28.01,28.06
25-10-2023,28.05,28.10
26-10-2023,28.08,28.13
27-10-2023,28.10,28.15
30-10-2023,28.13,28.18
31-10-2023,28.20,28.26
01-11-2023,28.24,28.29
02-11-2023,28.28,28.33
03-11-2023,28.31,28.36
06-11-2023,28.35,28.40
07-11-2023,28.39,28.44
08-11-2023,28.44,28.49
09-11-2023,28.48,28.53
10-11-2023,28.48,28.53
13-11-2023,28.49,28.54
14-11-2023,28.54,28.59
15-11-2023,28.58,28.63
16-11-2023,28.62,28.67
17-11-2023,28.65,28.70
20-11-2023,28.66,28.71
21-11-2023,28.71,28.76
22-11-2023,28.75,28.80
23-11-2023,28.76,28.81
24-11-2023,28.78,28.83
27-11-2023,28.81,28.86
28-11-2023,28.86,28.91
29-11-2023,28.88,28.93
30-11-2023,28.86,28.91
01-12-2023,28.82,28.87